frame_id,timestamp,knee_angle,elbow_angle,wrist_angle,confidence_knee,confidence_elbow,confidence_wrist,hip_y_smooth,wrist_y_smooth
0,0.0,119.51807378642981,60.94177915925094,142.91523034919572,0.3850903,0.9307483,0.9307483,0.646760728285714,0.6481724868571426
1,0.0333333333333333,97.04509856497337,67.32898867071297,129.74632357826394,0.41498056,0.931975,0.931975,0.6358077582857139,0.6439804495714283
2,0.0666666666666666,54.41171723732044,74.30871864703884,124.59575355687575,0.4459577,0.9373586,0.9373586,0.6256665031428568,0.6343633495714283
3,0.1,66.63096474843782,63.49974749406465,127.05151178147639,0.44704965,0.93860507,0.93860507,0.6239463548571426,0.6329528679999997
4,0.1333333333333333,56.03166803656323,67.22294337400719,118.3720316882519,0.45055947,0.9412251,0.9412251,0.6258632001428568,0.6408217048571425
5,0.1666666666666666,62.385462216053156,70.76399713646043,114.76464227005216,0.4084802,0.9093923,0.9093923,0.6293469227142854,0.6561673311428569
6,0.2,70.83856376693488,79.33023284246813,120.83941476147103,0.43076804,0.90123916,0.90123916,0.6399650844285711,0.6877627569999997
7,0.2333333333333333,78.26356656744098,93.97422739010909,133.54340020656798,0.42936242,0.89543176,0.89543176,0.6487504924285712,0.7281676639999997
8,0.2666666666666666,78.40531647906352,110.47153128331463,136.19424259845908,0.4735359,0.8985907,0.8985907,0.6468966105714282,0.7545222725714282
9,0.3,95.98867853341065,107.64876664957409,127.42618634127453,0.5232955,0.9028716,0.9028716,0.6373948377142854,0.7512594664285711
10,0.3333333333333333,116.70564033518556,112.4218720818437,111.45862453006994,0.5671831,0.90226716,0.90226716,0.6316461457142853,0.725227852285714
11,0.3666666666666666,126.92029562067565,129.7363252438787,97.51336579846883,0.6065082,0.90549177,0.90549177,0.6295141107142854,0.6787194781428568
12,0.4,128.05113902695766,133.0922467802408,88.3180748270973,0.6438522,0.90831184,0.90831184,0.6262406374285712,0.6346895859999997
13,0.4333333333333333,141.34605377742977,124.9570782428366,82.66256913779934,0.67824423,0.9124235,0.9124235,0.6236564857142854,0.6000901891428568
14,0.4666666666666667,151.34575445168477,130.76408700562123,83.66859701719784,0.70774287,0.91056895,0.91056895,0.6189937258571425,0.5754350827142855
15,0.5,149.04344012340306,141.0992477108974,86.12046111585619,0.73046374,0.8993123,0.8993123,0.6114256521428568,0.5577927941428569
16,0.5333333333333333,130.65518444308734,140.8612401608878,88.25691889892659,0.7472215,0.8763776,0.8763776,0.6007713885714283,0.5543577081428569
17,0.5666666666666667,110.96123780481493,134.2335930026802,89.87568636465743,0.7684726,0.85999465,0.85999465,0.5931822064285711,0.5568769008571426
18,0.6,87.16126211027469,130.46565824149994,91.66676120387459,0.790355,0.85845155,0.85845155,0.5871216714285712,0.5614332248571426
19,0.6333333333333333,84.59125464102353,119.03752279019707,93.34423929659205,0.8078872,0.8608159,0.8608159,0.5822917511428569,0.5646797084285711
20,0.6666666666666666,102.86473677633393,89.81242322995215,96.49250969607176,0.8229951,0.8604215,0.8604215,0.5787092411428569,0.5688448139999998
21,0.7,106.05838453579229,53.575463509506704,104.95190207444655,0.83469546,0.86302805,0.86302805,0.577104708285714,0.5724857261428569
22,0.7333333333333333,102.75846683309268,62.509560182688524,113.42609719377666,0.84929544,0.8703251,0.8703251,0.5757736551428569,0.5761274827142854
23,0.7666666666666667,108.13707700631744,65.64750775268338,115.9534176228985,0.86349636,0.87862414,0.87862414,0.5747151272857141,0.5777068405714283
24,0.8,114.39250395853193,60.067497214996315,117.06073679116575,0.8760494,0.8857174,0.8857174,0.5730854998571426,0.5772770898571425
25,0.8333333333333334,116.07277439693657,65.29108744766118,119.2665213179584,0.8871019,0.8925908,0.8925908,0.5716846781428568,0.5756666598571426
26,0.8666666666666667,113.92612371540292,90.71860104370599,119.32714817711962,0.8967741,0.8978478,0.8978478,0.5699206361428568,0.5746087034285712
27,0.9,110.60515983602687,99.45289681438868,119.64610877357018,0.9055287,0.9030287,0.9030287,0.5680161207142854,0.573071571285714
28,0.9333333333333332,108.15028347156012,92.3583347645727,123.39672893559171,0.91371155,0.9085002,0.9085002,0.5658322292857141,0.5716520719999997
29,0.9666666666666668,110.77164689521203,57.113925186563186,120.25041101490736,0.9205019,0.91349655,0.91349655,0.5641553184285713,0.5711841525714283
30,1.0,113.50916229879623,53.563143671517146,113.841653724514,0.92593133,0.9181382,0.9181382,0.5632466065714282,0.5711856937142854
31,1.0333333333333334,108.77669249783726,54.639326315657456,108.8066912745369,0.93063575,0.9220908,0.9220908,0.5625597434285712,0.5704375958571426
32,1.0666666666666669,109.254826048377,56.70958703683033,106.79999981909569,0.9356733,0.92416537,0.92416537,0.5620290319999997,0.5697030109999996
33,1.1,114.95007340975624,60.05248173520813,104.27495809708597,0.93908435,0.9252549,0.9252549,0.5615668367142854,0.5691085027142855
34,1.1333333333333333,120.85395021459188,66.55623191462473,102.27676817277766,0.94088066,0.92530453,0.92530453,0.5614370188571426,0.5680312778571426
35,1.1666666666666667,120.18731505170096,74.50601603922672,100.95748624358505,0.9419706,0.9245394,0.9245394,0.5612561524285711,0.5669068775714282
36,1.2,124.70262742953366,84.57365087094858,99.6879164221918,0.9425809,0.9240138,0.9240138,0.5610634025714283,0.5660754129999997
37,1.2333333333333334,130.09712304504848,92.85475277568133,98.77367656636427,0.9436585,0.92302966,0.92302966,0.5611416399999998,0.5657117478571425
38,1.2666666666666666,131.49850309669992,97.3553850545492,98.04614478298814,0.9430921,0.92180115,0.92180115,0.5612192204285712,0.5652239472857139
39,1.3,130.427876744504,96.15031467309664,98.04572008618962,0.94521695,0.92292404,0.92292404,0.5611978518571425,0.5648784827142854
40,1.3333333333333333,127.88830664868286,94.66909606125293,98.26398983455763,0.9474187,0.9244897,0.9244897,0.5611623555714282,0.5649938605714282
