frame_id,timestamp,knee_angle,elbow_angle,wrist_angle,confidence_knee,confidence_elbow,confidence_wrist,hip_y_smooth,wrist_y_smooth
0,0.0,127.44372776807415,72.55188591690958,151.969727134383,0.6037256,0.9377078,0.9377078,0.6526763341428569,0.649948541285714
3,0.1,104.34906714149521,62.16997196028835,142.89668751404352,0.5916389,0.9389327,0.9389327,0.6403510448571426,0.6492413455714282
6,0.2,111.58975704615642,72.47122769534097,135.38065957399823,0.5719932,0.92428815,0.92428815,0.6319735912857141,0.6857357198571425
9,0.3,130.39591516248964,103.13157835898248,115.00968540230255,0.61258,0.92417747,0.92417747,0.6320070041428568,0.7071880468571425
12,0.4,150.29407591473193,138.5099499743842,97.63051649794693,0.64803886,0.92436945,0.92436945,0.6205455809999998,0.6581406879999997
15,0.5,143.82561064903203,141.44098050809885,87.85704325112185,0.67608464,0.90692157,0.90692157,0.6035784702857139,0.5856322699999996
18,0.6,106.28239356533243,124.25089177441241,87.58857672183568,0.7050603,0.8938066,0.8938066,0.586188626285714,0.5640958265714282
21,0.7,87.974845870509,93.54170574957946,93.09225058942057,0.72343135,0.88890404,0.88890404,0.5758526594285711,0.5735089287142854
24,0.8,104.37133730152551,53.32451112681027,109.83155990090572,0.74951625,0.8897487,0.8897487,0.5727394208571426,0.5745210431428569
27,0.9,110.57532903549293,64.14414714199998,120.04656671256585,0.77323645,0.895839,0.895839,0.5699086544285712,0.5732721532857139
30,1.0,114.58472703435075,54.708085987390405,115.4037370580417,0.7944494,0.90277034,0.90277034,0.5660450389999997,0.5720500335714283
33,1.1,125.89100478020511,55.75066453294655,104.48703219165628,0.8120826,0.906832,0.906832,0.5634924279999998,0.5700932641428569
36,1.2,126.05688609838002,77.27235460735707,100.02519346983664,0.8259628,0.9095,0.9095,0.5614536898571426,0.5672506375714282
39,1.3,122.79498749067524,84.64843024430678,99.43060102299769,0.83925176,0.9123316,0.9123316,0.5605493665714283,0.5661906001428567
42,1.4,120.08032535671218,87.09131741984318,99.48008151495407,0.8532088,0.9165666,0.9165666,0.5614277589999996,0.5667690355714283
45,1.5,121.04715326978092,91.8488673945538,99.06265647519446,0.8664493,0.9217194,0.9217194,0.5628815301428569,0.5675388864285711
48,1.6,119.30841069315879,99.52189239911048,97.94336627148535,0.87796676,0.9266298,0.9266298,0.5635236368571426,0.567013721285714
51,1.7,115.22672013628556,101.69887373797081,97.49706908764418,0.8882863,0.9301213,0.9301213,0.5632545389999997,0.5669787164285711
54,1.8,114.42056091350098,113.24390214314379,95.87001910741441,0.896808,0.92941236,0.92941236,0.563313126285714,0.5651722538571426
57,1.9,116.97165565139038,125.18204757409407,94.4668223714418,0.90483564,0.9198533,0.9198533,0.5630387367142855,0.560971352285714
60,2.0,122.38297539491936,129.95688870922623,93.52509781735611,0.9119597,0.91077495,0.91077495,0.5625354342857141,0.5550805007142854
63,2.1,123.55802171838737,131.2715778656871,93.03753486048743,0.91785544,0.8919104,0.8919104,0.5618696727142853,0.551640187285714
66,2.2,124.04963273606596,135.39791187112547,92.39713128742787,0.9229837,0.86776584,0.86776584,0.5613443155714283,0.5502905044285711
