processed_idx,original_idx,timestamp
0,0,0.0
1,1,0.03333333333333333
2,2,0.06666666666666667
3,3,0.1
4,4,0.13333333333333333
5,5,0.16666666666666666
6,6,0.2
7,7,0.23333333333333334
8,8,0.26666666666666666
9,9,0.3
10,10,0.3333333333333333
11,11,0.36666666666666664
12,12,0.4
13,13,0.43333333333333335
14,14,0.4666666666666667
15,15,0.5
16,16,0.5333333333333333
17,17,0.5666666666666667
18,18,0.6
19,19,0.6333333333333333
20,20,0.6666666666666666
21,21,0.7
22,22,0.7333333333333333
23,23,0.7666666666666667
24,24,0.8
25,25,0.8333333333333334
26,26,0.8666666666666667
27,27,0.9
28,28,0.9333333333333333
29,29,0.9666666666666667
30,30,1.0
31,31,1.0333333333333334
32,32,1.0666666666666667
33,33,1.1
34,34,1.1333333333333333
35,35,1.1666666666666667
36,36,1.2
37,37,1.2333333333333334
38,38,1.2666666666666666
39,39,1.3
40,40,1.3333333333333333
41,41,1.3666666666666667
